"","date","country","unemp_rate"
"679",2020-01-01,"north_macedonia",16.4
"680",2020-01-01,"serbia",9.8
"681",2020-01-01,"turkiye",13.2
"682",2021-01-01,"croatia",7.5
"683",2021-01-01,"italy",9.5
"684",2021-01-01,"cyprus",7.2
"685",2021-01-01,"latvia",7.6
"686",2021-01-01,"lithuania",7.1
"687",2021-01-01,"luxembourg",5.3
"688",2021-01-01,"hungary",4
"689",2021-01-01,"malta",3.8
"690",2021-01-01,"netherlands",4.2
"691",2021-01-01,"austria",6.2
"692",2021-01-01,"poland",3.4
"693",2021-01-01,"portugal",6.7
"694",2021-01-01,"romania",5.6
"695",2021-01-01,"slovenia",4.8
"696",2021-01-01,"slovakia",6.8
"697",2021-01-01,"finland",7.7
"698",2021-01-01,"sweden",8.9
"699",2021-01-01,"iceland",6.1
"700",2021-01-01,"norway",4.4
"701",2021-01-01,"switzerland",5.1
"702",2021-01-01,"bosnia_and_herzegovina",17.4
"703",2021-01-01,"montenegro",NA
"704",2021-01-01,"north_macedonia",NA
"705",2021-01-01,"serbia",11.2
"706",2021-01-01,"turkiye",12
"707",2022-01-01,"croatia",6.8
"708",2022-01-01,"italy",8.1
"709",2022-01-01,"cyprus",6.3
"710",2022-01-01,"latvia",6.9
"711",2022-01-01,"lithuania",6
"712",2022-01-01,"luxembourg",4.6
"713",2022-01-01,"hungary",3.6
"714",2022-01-01,"malta",3.5
"715",2022-01-01,"netherlands",3.5
"716",2022-01-01,"austria",4.8
"717",2022-01-01,"poland",2.9
"718",2022-01-01,"portugal",6.2
"719",2022-01-01,"romania",5.6
"720",2022-01-01,"slovenia",4
"721",2022-01-01,"slovakia",6.1
"722",2022-01-01,"finland",6.8
"723",2022-01-01,"sweden",7.5
"724",2022-01-01,"iceland",3.8
"725",2022-01-01,"norway",3.2
"726",2022-01-01,"switzerland",4.1
"727",2022-01-01,"bosnia_and_herzegovina",15.4
